App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Ak Parti Yardım Toplama,SOCIAL,NaN,0,8.7,0,Paid,$13.99,Teen,Social,"July 28, 2017",4.1 and up
Ain Arabic Kids Alif Ba ta,FAMILY,NaN,0,33,0,Paid,$2.99,Everyone,Education,"April 15, 2016",3.0 and up
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,NaN,0,5.5,0,Paid,$1.49,Everyone,Personalization,"July 11, 2018",4.2 and up
Command & Conquer: Rivals,FAMILY,NaN,0,19,0,NaN,0,Everyone 10+,Strategy,"June 28, 2018",Varies with device
CX Network,BUSINESS,NaN,0,10,0,Free,0,Everyone,Business,"August 6, 2018",4.1 and up
Test Application DT 02,ART_AND_DESIGN,NaN,0,1.2,0,Free,0,Everyone,Art & Design,"March 14, 2017",4.2 and up
Pekalongan CJ,SOCIAL,NaN,0,5.9,0,Free,0,Teen,Social,"July 21, 2018",4.4 and up
EG | Explore Folegandros,TRAVEL_AND_LOCAL,NaN,0,56,0,Paid,$3.99,Everyone,Travel & Local,"January 22, 2017",4.1 and up
cronometra-br,PRODUCTIVITY,NaN,0,5.4,0,Paid,$154.99,Everyone,Productivity,"November 24, 2017",4.1 and up
Eu sou Rico,FINANCE,NaN,0,2.6,0,Paid,$30.99,Everyone,Finance,"January 9, 2018",4.0 and up
AP Series Solution Pro,FAMILY,NaN,0,7.4,0,Paid,$1.99,Everyone,Education,"July 30, 2017",4.0 and up
EP Cook Book,MEDICAL,NaN,0,3.2,0,Paid,$200.00,Everyone,Medical,"July 26, 2015",3.0 and up
Sweden Newspapers,NEWS_AND_MAGAZINES,NaN,0,2.1,0,Free,0,Everyone,News & Magazines,"July 7, 2018",4.4 and up
Eu Sou Rico,FINANCE,NaN,0,1.4,0,Paid,$394.99,Everyone,Finance,"July 11, 2018",4.0.3 and up
I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,NaN,0,40,0,Paid,$399.99,Everyone,Lifestyle,"December 1, 2017",4.1 and up
EJ Trívia Game,FAMILY,NaN,1,19,1,Free,0,Everyone,Puzzle,"July 19, 2018",4.1 and up
Amleen Ey,SOCIAL,NaN,0,19,1,Free,0,Everyone,Social,"July 24, 2017",4.1 and up
amm dz,FINANCE,NaN,0,14,1,Paid,$5.99,Everyone,Finance,"July 8, 2018",4.2 and up
Dz kayas,FINANCE,NaN,0,14,1,Paid,$28.99,Everyone,Finance,"July 12, 2018",4.2 and up
YAKALA AY,GAME,NaN,0,14,1,Paid,$0.99,Everyone,Arcade,"July 7, 2018",4.1 and up
CQ Electrical Group,PRODUCTIVITY,NaN,0,14,1,Free,0,Everyone,Productivity,"July 19, 2018",4.1 and up
KBA-EZ Health Guide,MEDICAL,5,4,25,1,Free,0,Everyone,Medical,"August 2, 2018",4.0.3 and up
BV Productions,BUSINESS,NaN,0,2.8,1,Free,0,Everyone,Business,"October 25, 2016",4.0 and up
F-O-Meter,FAMILY,NaN,0,2.8,1,Free,0,Mature 17+,Entertainment,"August 2, 2018",4.0 and up
WAH 247,MEDICAL,NaN,0,29,1,Free,0,Everyone,Medical,"July 20, 2018",4.0.3 and up
Kay AH GA,MEDICAL,NaN,0,29,1,Free,0,Everyone,Medical,"February 15, 2018",4.0.3 and up
Ek-yatri: Travel where you Belong,TRAVEL_AND_LOCAL,NaN,0,29,1,Free,0,Everyone,Travel & Local,"August 1, 2018",4.4 and up
Visualmed,MEDICAL,NaN,0,3.1,1,Paid,$2.99,Everyone,Medical,"August 1, 2018",4.1 and up
Ra Ga Ba,GAME,5,2,20,1,Paid,$1.49,Everyone,Arcade,"February 8, 2017",2.3 and up
Cathy AH,TOOLS,NaN,0,20,1,Free,0,Everyone,Tools,"July 16, 2018",4.1 and up
Learn CW,FAMILY,NaN,0,21,1,Paid,$2.49,Everyone,Education,"April 6, 2018",4.3 and up
Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,NaN,0,17,1,Paid,$5.99,Everyone,Books & Reference,"November 1, 2016",1.6 and up
CE AR LOG,LIFESTYLE,NaN,0,23,1,Free,0,Everyone,Lifestyle,"July 11, 2018",4.1 and up
EC-Contractors,HOUSE_AND_HOME,NaN,0,6,1,Free,0,Everyone,House & Home,"April 25, 2018",4.0.3 and up
Wallpapers FN Herstal FNP 9,PERSONALIZATION,NaN,0,11,1,Free,0,Teen,Personalization,"April 12, 2018",4.1 and up
orderin.bm,FOOD_AND_DRINK,NaN,0,14.5,1,Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device
D+H Reaction Wall,GAME,NaN,0,36,1,Paid,$0.99,Everyone,Arcade,"July 24, 2016",Varies with device
Bi-Tank Ads Free,GAME,NaN,0,36,1,Paid,$0.99,Everyone,Arcade,"July 31, 2017",4.1 and up
db Meter - sound level meter with data logging,TOOLS,NaN,0,15,1,Paid,$1.49,Everyone,Tools,"March 15, 2018",4.1 and up
PlusOne,DATING,NaN,0,10,1,Free,0,Mature 17+,Dating,"July 17, 2018",4.2 and up
FK Sileks,SPORTS,NaN,0,26,1,Free,0,Everyone,Sports,"March 18, 2018",4.1 and up
FK Bregalnica Štip,SPORTS,NaN,0,26,1,Free,0,Everyone,Sports,"February 24, 2018",4.1 and up
MyWoundDoctor - Provider,MEDICAL,NaN,0,3.5,1,Free,0,Everyone,Medical,"July 27, 2018",5.0 and up
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,NaN,0,3.6,1,Paid,$1.49,Everyone,Personalization,"July 23, 2018",6.0 and up
Healthy Relationships Guide,DATING,NaN,0,8.2,1,Free,0,Everyone,Dating,"July 31, 2018",4.0.3 and up
BA SALES,COMMUNICATION,NaN,0,2.9,1,Free,0,Everyone,Communication,"January 31, 2018",4.0.3 and up
